BUATAN,NAMA_MODEL_YANG_SEBENAR,TAHUN_DIBUAT,KUMPULAN_PENDAPATAN,Count(NO_IR)
KIA,CARNIVAL,1999,P1,14
BMW,COOPER,2002,P1,3
TOYOTA,HARRIER,1998,P1,1
PERODUA,KANCIL,1994,P1,61
PERODUA,KANCIL,1995,P1,121
PERODUA,KANCIL,1997,P1,30
PERODUA,KANCIL,1998,P1,13
PERODUA,KANCIL,1999,P1,12
PERODUA,KANCIL,2001,P1,1
PERODUA,KANCIL,2002,P1,2
PERODUA,KELISA,2001,P1,4
PERODUA,KEMBARA,1999,P1,3
PERODUA,KEMBARA,2001,P1,1
PERODUA,KEMBARA,2002,P1,2
PERODUA,KENARI,2001,P1,4
PERODUA,KENARI,2002,P1,1
ASIA,ROCSTA,1995,P1,5
PERODUA,RUSA,1996,P1,9
PERODUA,RUSA,1997,P1,4
KIA,SEPHIA,1999,P1,244
NISSAN,SERENA,1997,P1,1
ALFA ROMEO,147,2002,P1,2
ASIA,ROCSTA,1997,P1,1
AUDI,A1,2011,P1,8
AUDI,A1,2013,P1,2
AUDI,A3,2014,P1,25
AUDI,A3,2015,P1,23
AUDI,A3,2016,P1,13
AUDI,A4,2003,P1,9
AUDI,A4,2004,P1,18
AUDI,A4,2006,P1,19
AUDI,A4,2008,P1,32
AUDI,A4,2009,P1,48
AUDI,A4,2010,P1,68
AUDI,A4,2011,P1,75
AUDI,A4,2012,P1,85
AUDI,A4,2013,P1,67
AUDI,A4,2014,P1,42
AUDI,A4,2015,P1,36
AUDI,A4,2016,P1,30
AUDI,A4,2017,P1,14
AUDI,A4,2019,P1,3
AUDI,A5,2008,P1,3
AUDI,A5,2009,P1,56
AUDI,A5,2010,P1,78
AUDI,A5,2011,P1,57
AUDI,A5,2012,P1,38
AUDI,A5,2013,P1,26
AUDI,A5,2014,P1,15
AUDI,A5,2015,P1,4
AUDI,A5,2018,P1,2
AUDI,A5,2019,P1,4
AUDI,A5,2023,P1,3
AUDI,A6,2005,P1,9
AUDI,A6,2011,P1,13
AUDI,A6,2012,P1,17
AUDI,A6,2013,P1,206
AUDI,A6,2014,P1,7
AUDI,A6,2015,P1,14
AUDI,A7,2010,P1,5
AUDI,A7,2011,P1,12
AUDI,A7,2012,P1,7
AUDI,A7,2013,P1,5
AUDI,A7,2014,P1,1
AUDI,A7,2018,P1,1
AUDI,A8,2012,P1,1
AUDI,A8,2015,P1,2
AUDI,A8L,2013,P1,1
AUDI,ESTIMA,2010,P1,1
AUDI,Q3,2012,P1,11
AUDI,Q3,2013,P1,23
AUDI,Q3,2014,P1,22
AUDI,Q3,2015,P1,7
AUDI,Q3,2016,P1,14
AUDI,Q3,2017,P1,6
AUDI,Q3,2018,P1,2
AUDI,Q3,2019,P1,3
AUDI,Q3,2021,P1,1
AUDI,Q5,2009,P1,73
AUDI,Q5,2010,P1,74
AUDI,Q5,2011,P1,52
AUDI,Q5,2012,P1,54
AUDI,Q5,2013,P1,38
AUDI,Q5,2014,P1,25
AUDI,Q5,2015,P1,18
AUDI,Q5,2016,P1,6
AUDI,Q5,2019,P1,3
AUDI,Q5,2020,P1,2
AUDI,Q7,2007,P1,19
AUDI,Q7,2008,P1,24
AUDI,Q7,2010,P1,28
AUDI,Q7,2011,P1,56
AUDI,Q7,2012,P1,19
AUDI,Q7,2013,P1,10
AUDI,Q7,2014,P1,3
AUDI,Q7,2015,P1,4
AUDI,Q7,2016,P1,7
AUDI,Q8,2019,P1,1
AUDI,Q8,2020,P1,1
AUDI,R8,2007,P1,1
AUDI,R8,2008,P1,6
AUDI,R8,2009,P1,3
AUDI,R8,2010,P1,3
AUDI,RS3,2016,P1,1
AUDI,RS3,2018,P1,12
AUDI,RS3,2019,P1,1
AUDI,RS5,2013,P1,1
AUDI,RS5,2019,P1,1
AUDI,RS6,2013,P1,2
AUDI,RS6,2016,P1,1
AUDI,S3,2018,P1,1
AUDI,S4,2009,P1,8
AUDI,S4,2017,P1,1
AUDI,S5,2008,P1,3
AUDI,S5,2009,P1,2
AUDI,S5,2010,P1,14
AUDI,S5,2011,P1,6
AUDI,S5,2012,P1,3
AUDI,S5,2013,P1,4
AUDI,S5,2018,P1,2
AUDI,TT,1999,P1,5
