TAHUN_DIBUAT,NAMA_MODEL_YANG_SEBENAR,COUNT_NAMA_MODEL_YANG_SEBENAR
1986,SAGA,558
1992,RX-7,1
1995,325I,51
1995,ACCORD,618
1995,BENZ,20
1995,CEFIRO,6
1995,CIVIC,365
1995,CYNOS,1
1995,ISWARA,1047
1995,JIMNY,236
1995,KANCIL,9595
1995,LITEACE,396
1995,PAJERO,516
1995,PRADO,8
1995,SAGA,10164
1995,SATRIA,1264
1995,VITARA,266
1995,WIRA,14712
1995,XJ6,7
1996,CAMRY,940
1996,CIVIC,2927
1996,KANCIL,10812
1996,LITEACE,494
1996,SATRIA,1530
1996,TROOPER,348
1996,WIRA,18288
1997,ACCORD,451
1997,CEFIRO,26
1997,CIVIC,541
1997,ISWARA,2518
1997,KANCIL,17594
1997,ODYSSEY,71
1997,PAJERO,310
1997,PERDANA,1413
1997,RAV4,141
1997,SATRIA,1080
1997,SONATA,2
1997,TERRANO,285
1997,WIRA,29419
1998,CIVIC,533
1998,ECONOVAN,36
1998,HARRIER,625
1998,ISWARA,1315
1998,KANCIL,10398
1998,KEMBARA,1041
1998,WIRA,4291
1999,HARRIER,373
1999,JIMNY,14
1999,KANCIL,19678
1999,KEMBARA,3462
1999,PAJERO,4
1999,SAGA,3097
1999,SATRIA,33
1999,TELSTAR,24
1999,TT,6
1999,WIRA,18465
2000,BENZ,5
2000,GRAND,19
2000,HARRIER,238
2000,ISWARA,4522
2000,KANCIL,31204
2000,KEMBARA,4082
2000,KENARI,4049
2000,LANDCRUISER,84
2000,ODYSSEY,154
2000,PAJERO,65
2000,SAGA,3177
2000,SATRIA,25
2000,WAJA,6386
2000,WIRA,36648
2001,325I,63
2001,525I,43
2001,BENZ,7
2001,CHARADE,6
2001,CIVIC,90
2001,CR-V,27
2001,ISWARA,20547
2001,KANCIL,20406
2001,KELISA,7039
2001,KEMBARA,5301
2001,KENARI,4518
2001,LANDCRUISER,13
2001,SATRIA,9
2001,WAJA,30120
2001,WIRA,29277
2002,318I,264
2002,ATOS,746
2002,CALDINA,247
2002,CR-V,1499
2002,HARRIER,155
2002,ISWARA,3376
2002,KANCIL,28263
2002,KELISA,19702
2002,KEMBARA,4310
2002,KENARI,8461
2002,MATRIX,578
2002,PERDANA,1522
2002,RANGER,1431
2002,RAV4,64
2002,SATRIA,22
2002,SERENA,281
2002,UNSER,6029
2002,VANETTE,1703
2002,WAJA,31397
2002,WIRA,48592
2003,ALPHARD,1345
2003,ARENA,807
2003,BENZ,12
2003,CALDINA,460
2003,CAMRY,1582
2003,CARENS,992
2003,CEFIRO,287
2003,CELICA,2
2003,CITY,5471
2003,ESTIMA,1972
2003,FAIRLADY,105
2003,HARRIER,1872
2003,HILUX,1593
2003,INOKOM,21
2003,KANCIL,27931
2003,KELISA,17354
2003,LIBERTY,15
2003,PREMACY,172
2003,RANGER,625
2003,RX-8,142
2003,SENTRA,2525
2003,SONATA,44
2003,SORENTO,107
2003,STREAM,773
2003,UNSER,6705
2003,V40,19
2003,VANETTE,1531
2003,VIOS,24
2003,WAJA,22774
2003,WISH,3114
2004,ACCORD,1648
2004,ALPHARD,1385
2004,AVEO,1191
2004,BENZ,19
2004,CALDINA,395
2004,CAMRY,3498
2004,CITY,5292
2004,COROLLA,2219
2004,CR-V,620
2004,ESTIMA,1507
2004,GEN-2,26
2004,GRAND,5
2004,HARRIER,1413
2004,IMPREZA,44
2004,JAZZ,2094
2004,KANCIL,14430
2004,KELISA,14030
2004,KENARI,14561
2004,LANDCRUISER,3
2004,MATRIX,49
2004,OPTIMA,508
2004,PREGIO,233
2004,RIA,2802
2004,SATRIA,14
2004,SERENA,235
2004,VANETTE,1443
2004,VIOS,80
2004,WAJA,18347
2004,WIRA,22538
2004,WISH,2974
2004,Z4,23
2005,318I,72
2005,325I,42
2005,520I,182
2005,525I,430
2005,645CI,12
2005,ACCORD,3943
2005,ALPHARD,1784
2005,AVANZA,21650
2005,AVEO,931
2005,BENZ,17
2005,CAMRY,3410
2005,CEFIRO,136
2005,CITRA,5391
2005,CITY,7090
2005,COLT,59
2005,COOPER,256
2005,COROLLA,2107
2005,CR-V,1178
2005,EDIX,1
2005,ESTIMA,1175
2005,EVEREST,173
2005,FORTUNER,91
2005,GEN-2,9
2005,GOLF,10
2005,GRANDIS,111
2005,HARRIER,1810
2005,HILUX,3423
2005,INNOVA,5076
2005,IPSUM,74
2005,ISWARA,9698
2005,JAZZ,1543
2005,KELISA,13799
2005,KEMBARA,1654
2005,KENARI,10173
2005,MURANO,371
2005,MYVI,20875
2005,ODYSSEY,537
2005,RIA,2674
2005,RUSA,156
2005,SENTRA,3912
2005,STREAM,595
2005,VIOS,138
2005,WAJA,20909
2005,WIRA,25242
2005,X-TRAIL,1240
2005,Z4,13
2006,630CI,6
2006,ACCENT,690
2006,ACCORD,906
2006,ALPHARD,1194
2006,AVANZA,15649
2006,BENZ,46
2006,CALDINA,120
2006,CAMRY,1858
2006,CITY,20
2006,CIVIC,4639
2006,COROLLA,1284
2006,CR-V,640
2006,ESTIMA,3359
2006,FAIRLADY,22
2006,HARRIER,1004
2006,INNOVA,4771
2006,ISWARA,7551
2006,KANCIL,17118
2006,KELISA,12567
2006,KENARI,7195
2006,MYVI,48039
2006,SATRIA,14
2006,SAVVY,1858
2006,SENTRA,3467
2006,SERENA,373
2006,SONATA,18
2006,SORENTO,619
2006,STREAM,292
2006,VANETTE,1272
2006,VIOS,34
2006,WIRA,11578
2006,X5,28
2007,3,16
2007,320I,626
2007,325I,261
2007,523I,385
2007,630I,43
2007,ACCORD,1447
2007,ALPHARD,715
2007,AVANZA,12852
2007,BENZ,54
2007,CALDINA,13
2007,CAMRY,2716
2007,CAPTIVA,35
2007,CAYENNE,70
2007,CAYMAN,1
2007,CITY,9
2007,CIVIC,5729
2007,COOPER,284
2007,CR-V,2
2007,ESTIMA,3139
2007,EVEREST,34
2007,FAIRLADY,6
