TAHUN_DIBUAT,NAMA_MODEL_YANG_SEBENAR,COUNT_NAMA_MODEL_YANG_SEBENAR
2010,2,1685
2011,2,1824
2012,2,1442
2014,2,179
2015,2,4362
2016,2,2320
2017,2,1640
2018,2,915
2019,2,979
2020,2,236
2021,2,218
2022,2,267
2023,2,29
2006,3,210
2007,3,72
2009,3,481
2010,3,1013
2011,3,1680
2012,3,2327
2013,3,636
2014,3,1619
2015,3,2315
2016,3,2247
2017,3,744
2018,3,946
2019,3,885
2020,3,660
2021,3,1046
2022,3,306
2023,3,1289
2006,5,254
2007,5,58
2008,5,158
2011,5,385
2012,5,350
2013,5,45
2014,5,111
2015,5,41
2016,5,21
2017,5,1
2018,5,1
2004,6,133
2005,6,55
2007,6,29
2008,6,180
2010,6,478
2011,6,385
2012,6,259
2013,6,1631
2014,6,777
2016,6,155
2017,6,84
2018,6,82
2019,6,150
2020,6,9
2021,6,59
2022,6,143
2023,6,55
2010,8,143
2011,8,412
2012,8,383
2013,8,165
2014,8,83
2015,8,25
2012,86,298
2013,86,193
2014,86,216
2015,86,186
2016,86,145
2017,86,340
2018,86,195
2019,86,125
2020,86,34
2021,86,3
2002,147,26
1993,155,4
2010,159,1
1983,200,269
1984,200,141
2006,206,7
2010,207,46
2011,207,1098
2012,207,1287
2013,207,123
2013,208,1517
2014,208,1913
2015,208,582
2016,208,184
1996,306,111
2011,308,1365
2012,308,863
2013,308,400
2014,308,109
2015,308,304
2016,308,242
2017,308,59
1994,323,226
2001,360,6
2002,360,6
2003,360,9
2006,407,34
2009,407,376
2010,407,421
2011,407,189
2012,408,742
2013,408,1248
2014,408,959
2015,408,193
2016,408,744
2017,408,79
2008,500,10
2011,500,1
2011,508,140
2012,508,790
2013,508,923
2014,508,474
2015,508,194
2016,718,75
2017,718,280
2018,718,323
2019,718,143
2020,718,38
2021,718,13
2022,718,3
2023,718,5
1990,740,52
1997,850,105
1995,911,68
1996,911,19
2001,911,15
2002,911,9
2003,911,22
2005,911,43
2006,911,88
2007,911,124
2008,911,97
2009,911,71
2010,911,53
2011,911,31
2012,911,167
2013,911,96
2014,911,70
2015,911,58
2016,911,123
2017,911,107
2018,911,111
2019,911,207
2020,911,99
2021,911,50
2022,911,37
2023,911,24
1991,940,48
1984,944,5
2014,2008,403
2015,2008,114
2016,2008,197
2022,2008,764
2023,2008,192
2011,3008,577
2012,3008,582
2013,3008,489
2014,3008,371
2015,3008,158
2016,3008,98
2017,3008,229
2018,3008,1069
2019,3008,739
2020,3008,492
2021,3008,543
2022,3008,855
2023,3008,343
2011,5008,379
2018,5008,191
2019,5008,208
2020,5008,333
2021,5008,223
2022,5008,147
2013,116I,86
2014,116I,143
2006,118I,28
2008,118I,26
2009,118I,19
2010,118I,23
2013,118I,69
2014,118I,267
2015,118I,65
2016,118I,452
2017,118I,284
2018,118I,201
2019,118I,1
2015,120I,128
2016,120I,192
1988,190E,114
1995,190E,1
2015,218I,263
2016,218I,184
2017,218I,1
2020,218I,444
2021,218I,1151
2022,218I,1054
2023,218I,397
2015,220I,177
2016,220I,2
2017,220I,1
1988,230E,559
1989,230E,741
1990,230E,844
1991,250D,5
1991,260E,270
1974,280S,10
1979,280ZX,6
1994,290GD,2
1989,300CE,23
1992,300SL,21
2013,316I,622
2014,316I,980
2015,316I,717
2004,318CI,13
1991,318I,151
1997,318I,288
1999,318I,294
2001,318I,486
2002,318I,545
2003,318I,525
2004,318I,520
2005,318I,122
2015,318I,161
2016,318I,922
2017,318I,845
2018,318I,963
2019,318I,536
2009,320D,79
2010,320D,151
2012,320D,582
2013,320D,195
2014,320D,227
2015,320D,170
2016,320D,35
1987,320I,26
2000,320I,139
2003,320I,70
2004,320I,24
2005,320I,657
2006,320I,695
2007,320I,999
2008,320I,731
2009,320I,859
2010,320I,737
2011,320I,982
2012,320I,772
2013,320I,1516
2014,320I,1738
2015,320I,1624
2016,320I,1224
2017,320I,8
2018,320I,3
2019,320I,29
2020,320I,1372
2021,320I,984
2022,320I,789
2023,320I,775
1999,323I,36
2009,323I,387
2010,323I,508
2011,323I,319
2012,323I,120
1994,325I,138
2001,325I,114
2003,325I,153
2005,325I,276
2006,325I,354
2007,325I,464
2008,325I,293
2010,325I,332
2011,325I,175
2012,325I,58
1999,328CI,4
2012,328I,1140
2013,328I,980
2014,328I,753
2015,328I,434
2016,328I,90
2000,330CI,17
2004,330CI,11
2016,330E,675
2017,330E,1912
2018,330E,1914
2019,330E,736
2020,330E,123
2021,330E,29
2022,330E,213
2023,330E,110
2007,330I,15
2015,330I,103
2016,330I,205
2019,330I,905
2020,330I,624
2021,330I,764
2022,330I,536
2023,330I,366
2021,330LI,123
2022,330LI,269
2023,330LI,106
2008,335I,71
2010,335I,16
2011,335I,1
2012,335I,24
2014,335I,2
2003,350Z,1
2011,370Z,7
2014,420I,88
2015,420I,60
2016,420I,46
2017,420I,27
2018,420I,14
2021,420I,2
2013,428I,86
2014,428I,163
2015,428I,106
2016,430I,53
2017,430I,17
2018,430I,12
2019,430I,2
2020,430I,2
2021,430I,44
2022,430I,31
2023,430I,16
2016,4C,1
2007,520D,4
2011,520D,377
2012,520D,319
2013,520D,332
2014,520D,147
2016,520D,37
2002,520I,65
2003,520I,183
2004,520I,414
2005,520I,303
2006,520I,10
2012,520I,1092
2013,520I,758
2014,520I,567
2015,520I,473
2016,520I,630
2017,520I,129
2019,520I,285
2020,520I,93
2018,523D,11
1997,523I,156
2005,523I,285
2006,523I,544
2007,523I,628
2008,523I,549
2009,523I,319
2010,523I,1052
2011,523I,1622
2012,523I,134
2018,523I,11
2001,525I,87
2002,525I,101
2003,525I,172
2004,525I,920
2005,525I,1099
2006,525I,994
2007,525I,681
2008,525I,603
2010,525I,155
2010,528I,203
2011,528I,574
2012,528I,842
2013,528I,810
2014,528I,774
2015,528I,596
2016,528I,337
2018,530E,1498
2019,530E,968
2020,530E,244
2021,530E,144
2022,530E,364
2023,530E,117
2005,530I,181
2007,530I,158
2008,530I,149
2009,530I,42
2017,530I,1209
2018,530I,533
2019,530I,1092
2020,530I,273
2021,530I,257
2022,530I,512
2023,530I,228
2010,535I,287
2011,535I,119
2012,535I,46
2018,540I,5
2005,545I,2
2010,550I,3
2018,570GT,3
2016,570S,9
2017,570S,8
2018,570S,14
2019,570S,2
2019,600LT,17
2005,630I,97
2006,630I,106
2007,630I,69
2009,630I,5
2010,630I,2
2019,630I,217
2020,630I,54
2021,630I,44
2022,630I,56
2023,630I,14
2011,640I,27
2012,640I,70
2013,640I,43
2005,645CI,34
2014,650S,9
2016,675LT,3
2017,720S,11
2018,720S,27
2019,720S,6
2020,720S,1
2021,720S,4
1997,728I,44
2009,730LD,25
2010,730LD,8
2011,730LD,8
2004,730LI,92
2006,730LI,52
2007,730LI,54
2008,730LI,24
2010,730LI,133
2011,730LI,121
2012,730LI,64
2013,730LI,63
2014,730LI,60
2015,730LI,63
2016,730LI,311
2017,730LI,1
2009,740I,17
2012,740I,8
2018,740LE,6
2019,740LE,206
2020,740LE,117
2021,740LE,98
2022,740LE,129
2009,740LI,90
2011,740LI,30
2012,740LI,22
2014,740LI,14
2015,740LI,13
2016,740LI,88
2023,750E,16
2009,750I,11
2009,750LI,3
2012,750LI,2
2010,760LI,5
2021,765LT,6
2019,840I,13
2020,840I,32
2021,840I,4
2011,A1,56
2013,A1,25
2013,A180,781
2014,A180,849
2015,A180,633
2016,A180,591
2017,A180,538
2018,A180,597
2019,A180,421
2020,A180,159
2021,A180,16
2013,A200,271
2014,A200,333
2015,A200,325
2016,A200,163
2017,A200,388
2018,A200,426
2019,A200,343
2020,A200,3
2021,A200,1
2019,A220,5
2013,A250,587
2014,A250,978
2015,A250,576
2016,A250,178
2017,A250,191
2018,A250,284
2019,A250,112
2020,A250,88
2021,A250,1
2014,A3,240
2015,A3,314
2016,A3,200
2023,A3,5
2003,A4,32
2004,A4,104
2006,A4,120
2008,A4,201
2009,A4,361
2010,A4,427
2011,A4,427
2012,A4,471
2013,A4,380
2014,A4,428
2015,A4,273
2016,A4,286
2017,A4,158
2018,A4,3
2019,A4,18
2008,A5,73
2009,A5,312
2010,A5,527
2011,A5,293
2012,A5,294
2013,A5,230
2014,A5,107
2015,A5,44
2016,A5,13
2018,A5,20
2019,A5,60
2020,A5,8
2023,A5,7
2005,A6,68
2011,A6,89
2012,A6,153
2013,A6,1434
2014,A6,120
2015,A6,128
2018,A6,1
2019,A6,1
2010,A7,33
2011,A7,106
2012,A7,41
2013,A7,47
2014,A7,13
2018,A7,11
2019,A7,11
2020,A7,7
2021,A7,2
2022,A7,1
2012,A8,12
2013,A8,7
2014,A8,3
2015,A8,4
2018,A8,4
2019,A8,3
2021,A8,1
2013,A8L,26
2004,ACCENT,3344
2006,ACCENT,981
2008,ACCENT,612
2009,ACCENT,472
2011,ACCENT,308
1981,ACCORD,130
1987,ACCORD,360
1991,ACCORD,2915
1993,ACCORD,2577
1994,ACCORD,3310
1995,ACCORD,2976
1997,ACCORD,2428
1998,ACCORD,532
2000,ACCORD,1288
2001,ACCORD,977
2002,ACCORD,665
2003,ACCORD,1248
2004,ACCORD,4637
2005,ACCORD,5755
2006,ACCORD,3706
2007,ACCORD,2122
2008,ACCORD,6472
2009,ACCORD,4935
2010,ACCORD,6371
2011,ACCORD,3862
2012,ACCORD,2956
2013,ACCORD,3855
2014,ACCORD,10043
2015,ACCORD,5861
2016,ACCORD,4016
2017,ACCORD,3391
2018,ACCORD,1864
2019,ACCORD,325
2020,ACCORD,874
2021,ACCORD,591
2022,ACCORD,634
2023,ACCORD,361
2011,ACTYON,45
2003,AIRTREK,415
2004,AIRTREK,140
2012,ALMERA,6323
2013,ALMERA,26769
2014,ALMERA,23084
2015,ALMERA,20584
2016,ALMERA,15312
2017,ALMERA,8075
2018,ALMERA,5790
2019,ALMERA,5002
2020,ALMERA,2707
2021,ALMERA,4200
2022,ALMERA,3273
2023,ALMERA,1344
2002,ALPHARD,993
2003,ALPHARD,2465
2004,ALPHARD,2502
2005,ALPHARD,3304
2006,ALPHARD,2245
2007,ALPHARD,1362
2008,ALPHARD,1917
2009,ALPHARD,1002
2010,ALPHARD,1102
2011,ALPHARD,700
2012,ALPHARD,1230
2013,ALPHARD,963
2014,ALPHARD,919
2015,ALPHARD,3718
2016,ALPHARD,3515
