BUATAN,NAMA_MODEL_YANG_SEBENAR,TAHUN_DIBUAT,CAR_AGE,KEUPAYAAN_ENJIN,PRICE(RM),Count(DOSM_ID)
ALFA ROMEO,4C,2016,8,1.7,338000,1
ALFA ROMEO,147,2002,22,2,35000,10
ALFA ROMEO,STELVIO,2018,6,2,268000,1
ALFA ROMEO,159,2010,14,2.2,28888,1
ALFA ROMEO,GIULIA,2017,7,2.9,397629.3333,4
ALFA ROMEO,GIULIA,2020,4,2.9,519834,1
ALPINE,A110,2021,3,1.8,430400,1
ASIA,ROCSTA,1997,27,2,29999,4
ASIA,ROCSTA,1997,27,2,29999,2
ASIA,ROCSTA,1995,29,2.2,35800,7
ASTON MARTIN,ALPHARD,2019,5,2.5,236570.5497,1
AUDI,A1,2011,13,1.4,40244.44444,51
AUDI,A1,2013,11,1.4,47975.66667,24
AUDI,A3,2014,10,1.4,46321.26087,129
AUDI,Q3,2014,10,1.4,48433.33333,33
AUDI,A3,2015,9,1.4,55535.6,263
AUDI,Q3,2015,9,1.4,59650,64
AUDI,A3,2016,8,1.4,57465.92593,154
AUDI,A4,2016,8,1.4,94714.14286,67
AUDI,Q3,2016,8,1.4,69592,103
AUDI,Q3,2019,5,1.4,184999,17
AUDI,Q3,2020,4,1.4,184240,4
AUDI,Q3,2021,3,1.4,188000,7
AUDI,TT,1999,25,1.8,42999,11
AUDI,A4,2003,21,1.8,8350,28
AUDI,A4,2004,20,1.8,12800,82
AUDI,TT,2004,20,1.8,59888,15
AUDI,WALD,2005,19,1.8,25800,9
AUDI,A4,2008,16,1.8,31466.66667,144
AUDI,A4,2009,15,1.8,28292,211
AUDI,A4,2010,14,1.8,31142.85714,232
AUDI,A5,2010,14,1.8,46850,5
AUDI,A4,2011,13,1.8,36354.68421,245
AUDI,A4,2012,12,1.8,38914.1875,334
AUDI,A4,2013,11,1.8,43682.05263,315
AUDI,A5,2013,11,1.8,73899.5,4
AUDI,A4,2014,10,1.8,53027.875,353
AUDI,A4,2015,9,1.8,61787.5,235
AUDI,A6,2015,9,1.8,79622.11765,111
AUDI,A4,2006,18,2,21300,87
AUDI,TT,2006,18,2,47999,56
AUDI,TT,2007,17,2,42905.42857,497
AUDI,TT,2008,16,2,49743.6875,516
AUDI,A5,2009,15,2,37824.16667,274
AUDI,Q5,2009,15,2,34245.71429,346
AUDI,TT,2009,15,2,49906.33333,228
AUDI,A4,2010,14,2,31800,149
AUDI,A5,2010,14,2,50534.5625,456
AUDI,Q5,2010,14,2,33835.65385,392
AUDI,TT,2010,14,2,67137.5,138
AUDI,A4,2011,13,2,40562.63636,128
AUDI,A5,2011,13,2,42796,259
AUDI,A6,2011,13,2,52200,37
AUDI,Q5,2011,13,2,37395.4375,392
AUDI,TT,2011,13,2,72950,97
AUDI,A4,2012,12,2,44146.75,85
AUDI,A5,2012,12,2,60099.72727,234
AUDI,A6,2012,12,2,56042.85714,115
AUDI,A8,2012,12,2,88000,3
AUDI,Q3,2012,12,2,43535.27273,86
AUDI,Q5,2012,12,2,39994.44444,366
AUDI,TT,2012,12,2,65888,28
AUDI,A4,2013,11,2,61639.8,20
AUDI,A5,2013,11,2,81250.72,195
AUDI,A6,2013,11,2,44433.62745,1261
AUDI,Q3,2013,11,2,47014.66667,166
AUDI,Q5,2013,11,2,50321.2381,315
AUDI,TT,2013,11,2,157633,20
AUDI,A4,2014,10,2,48800,18
AUDI,A5,2014,10,2,82527.125,96
AUDI,A6,2014,10,2,52445.27586,96
AUDI,Q3,2014,10,2,56903.61538,158
AUDI,Q5,2014,10,2,60465.66667,278
AUDI,A4,2015,9,2,74900,5
AUDI,A5,2015,9,2,107226,41
AUDI,NX200T,2015,9,2,146902.75,1
AUDI,Q3,2015,9,2,69500,17
AUDI,Q5,2015,9,2,68520,211
AUDI,S3,2015,9,2,199000,3
AUDI,TT,2015,9,2,156450,100
AUDI,X-TRAIL,2015,9,2,53087.25,1
AUDI,A4,2016,8,2,105999,191
AUDI,A5,2016,8,2,110849.5,11
AUDI,Q3,2016,8,2,81136.72727,60
AUDI,Q5,2016,8,2,76533,53
AUDI,Q7,2016,8,2,185533,20
AUDI,TT,2016,8,2,160484.6522,135
AUDI,A4,2017,7,2,121620.8889,146
AUDI,Q3,2017,7,2,87888,40
AUDI,S3,2017,7,2,198000,11
AUDI,TT,2017,7,2,160726,64
AUDI,TTS,2017,7,2,223000,15
AUDI,A4,2018,6,2,117698,3
AUDI,A5,2018,6,2,203877.7778,19
AUDI,A6,2018,6,2,248844,1
AUDI,Q3,2018,6,2,87999,16
AUDI,Q5,2018,6,2,222000,2
AUDI,S3,2018,6,2,222090.6364,2
AUDI,TT,2018,6,2,233194,13
AUDI,A4,2019,5,2,195200,16
AUDI,A5,2019,5,2,218399.9697,55
AUDI,Q5,2019,5,2,265487.5,48
AUDI,S3,2019,5,2,308888,3
AUDI,TT,2019,5,2,257528.5,13
AUDI,A4,2020,4,2,218250,1
AUDI,A5,2020,4,2,267222.1667,6
AUDI,Q3,2020,4,2,198800,9
AUDI,Q5,2020,4,2,375923.6667,17
AUDI,S3,2020,4,2,398800,1
AUDI,TT,2020,4,2,325618.1154,2
AUDI,Q3,2021,3,2,203800,13
AUDI,TT,2021,3,2,249666.6667,1
AUDI,Q3,2022,2,2,208800,1
AUDI,Q5,2022,2,2,309000,7
AUDI,A3,2023,1,2,230000,6
AUDI,A5,2023,1,2,340000,8
AUDI,Q5,2023,1,2,395000,5
AUDI,A6,2005,19,2.4,29900,52
AUDI,ESTIMA,2006,18,2.4,47272.9,1
AUDI,ESTIMA,2007,17,2.4,52712.29114,2
AUDI,VELLFIRE,2008,16,2.4,67935.60606,1
AUDI,ESTIMA,2009,15,2.4,59892.33824,1
AUDI,ESTIMA,2010,14,2.4,65598.70492,1
AUDI,RS3,2012,12,2.5,175500,1
AUDI,RS3,2016,8,2.5,230000,16
AUDI,TT,2017,7,2.5,333000,1
AUDI,RS3,2018,6,2.5,309938.7,56
AUDI,RS3,2019,5,2.5,350362.4722,2
AUDI,RS3,2020,4,2.5,341062.6667,4
AUDI,TTRS,2021,3,2.5,423972,2
AUDI,A7,2011,13,2.8,72800,14
AUDI,RS5,2017,7,2.9,398000,2
AUDI,RS5,2018,6,2.9,418000,1
AUDI,RS5,2019,5,2.9,451110.8571,4
AUDI,RS5,2020,4,2.9,599999,1
AUDI,Q7,2008,16,3,31199.66667,57
AUDI,S4,2009,15,3,61866.66667,51
AUDI,A7,2010,14,3,66800,28
AUDI,Q7,2010,14,3,43457.8,195
AUDI,S5,2010,14,3,73660,67
AUDI,A6,2011,13,3,195371.2857,46
AUDI,A7,2011,13,3,111566.6667,84
AUDI,Q7,2011,13,3,49159.10811,394
AUDI,S5,2011,13,3,70800,45
AUDI,A7,2012,12,3,113400,35
AUDI,A8,2012,12,3,72900,3
AUDI,Q7,2012,12,3,57481.33333,151
AUDI,S5,2012,12,3,100165.3333,36
AUDI,A7,2013,11,3,110000,40
AUDI,A8,2013,11,3,77024.75,1
AUDI,A8L,2013,11,3,74344,24
AUDI,Q7,2013,11,3,45888,85
AUDI,S5,2013,11,3,113450,20
AUDI,A7,2014,10,3,125400,12
AUDI,Q7,2014,10,3,59939,34
AUDI,A8,2015,9,3,127784,1
AUDI,Q7,2015,9,3,164800,51
AUDI,S5,2015,9,3,127999,5
AUDI,Q7,2016,8,3,181481.0714,46
AUDI,Q7,2017,7,3,202670,9
AUDI,S4,2017,7,3,265400,3
AUDI,A7,2018,6,3,339300,11
AUDI,A8,2018,6,3,563000,4
AUDI,Q8,2018,6,3,381629.3333,16
AUDI,S4,2018,6,3,319999,3
AUDI,S5,2018,6,3,320788.5,9
AUDI,SQ5,2018,6,3,380155,3
AUDI,A6,2019,5,3,300571.4286,1
AUDI,A7,2019,5,3,393108.6667,8
AUDI,A8,2019,5,3,406572,3
AUDI,Q7,2019,5,3,276800,3
AUDI,Q8,2019,5,3,468063.4286,26
AUDI,S5,2019,5,3,304418.4231,1
AUDI,A7,2020,4,3,412181,7
AUDI,Q7,2020,4,3,472578.9474,1
AUDI,Q8,2020,4,3,501222.1667,6
AUDI,A7,2021,3,3,450000,2
AUDI,A8,2021,3,3,499000,1
AUDI,Q8,2021,3,3,556042.5532,3
AUDI,A7,2022,2,3,499000,1
AUDI,Q8,2022,2,3,608000,1
AUDI,A5,2008,16,3.2,45400,10
AUDI,Q7,2007,17,3.6,31114.28571,36
AUDI,Q7,2008,16,3.6,30266.33333,39
AUDI,S6,2012,12,4,135000,3
AUDI,S7,2012,12,4,141300,6
AUDI,A8,2013,11,4,95000,4
AUDI,RS6,2013,11,4,341900,8
AUDI,S6,2013,11,4,129800,1
AUDI,RS6,2014,10,4,458592,5
AUDI,A8,2015,9,4,268333.3333,3
AUDI,RS7,2015,9,4,424629.3333,1
AUDI,RS6,2016,8,4,468000,8
AUDI,RS6,2017,7,4,498350,4
AUDI,RS6,2018,6,4,538066.6,2
AUDI,RS6,2020,4,4,808249.5,4
AUDI,RS7,2020,4,4,805194,5
AUDI,RS6,2021,3,4,875392.3158,2
AUDI,Q7,2007,17,4.2,25800,68
AUDI,R8,2007,17,4.2,194800,23
AUDI,R8,2008,16,4.2,209669.7143,56
AUDI,S5,2008,16,4.2,71500,8
AUDI,R8,2009,15,4.2,211900,19
AUDI,S5,2009,15,4.2,61900,7
AUDI,Q7,2010,14,4.2,41399.5,14
AUDI,A8,2012,12,4.2,117800,2
