"KUMPULAN_PENDAPATAN","BUATAN","NAMA_MODEL_YANG_SEBENAR","Count(NO_IR)"
"B1","","CARNIVAL",5
"B1","","COOPER",3
"B1","","HARRIER",1
"B1","","KANCIL",345
"B1","","KELISA",6
"B1","","KEMBARA",10
"B1","","KENARI",9
"B1","","ROCSTA",18
"B1","","RUSA",12
"B1","","SEPHIA",254
"B1","","SERENA",1
"B1","ALFA ROMEO","147",7
"B1","ALFA ROMEO","155",1
"B1","ASIA","ROCSTA",3
"B1","AUDI","A1",14
"B1","AUDI","A3",89
"B1","AUDI","A4",640
"B1","AUDI","A5",299
"B1","AUDI","A6",264
"B1","AUDI","A7",32
"B1","AUDI","A8",3
"B1","AUDI","A8L",1
"B1","AUDI","Q3",114
"B1","AUDI","Q5",388
"B1","AUDI","Q7",158
"B1","AUDI","Q8",2
"B1","AUDI","R8",12
"B1","AUDI","RS3",14
"B1","AUDI","RS5",1
"B1","AUDI","RS6",2
"B1","AUDI","S3",3
"B1","AUDI","S4",7
"B1","AUDI","S5",28
"B1","AUDI","SQ5",1
"B1","AUDI","TT",328
"B1","AUDI","TTS",2
"B1","AUDI","WALD",5
"B1","AUSTIN MORRIS","MORRIS",3
"B1","AVELING BARFORD","VELLFIRE",1
"B1","BENTLEY","BENTAYGA",4
"B1","BENTLEY","CONTINENTAL",26
"B1","BISON","SAVANNA",6
"B1","BMW","116I",39
"B1","BMW","118I",159
"B1","BMW","120I",24
"B1","BMW","218I",284
"B1","BMW","220I",16
"B1","BMW","316I",341
"B1","BMW","318CI",1
"B1","BMW","318I",994
"B1","BMW","320D",157
"B1","BMW","320I",2424
"B1","BMW","323I",213
"B1","BMW","325I",423
"B1","BMW","328I",466
"B1","BMW","330E",566
"B1","BMW","330I",299
"B1","BMW","330LI",47
"B1","BMW","335I",12
"B1","BMW","420I",23
"B1","BMW","428I",24
"B1","BMW","430I",14
"B1","BMW","520D",129
"B1","BMW","520I",629
"B1","BMW","523D",1
"B1","BMW","523I",921
"B1","BMW","525I",904
"B1","BMW","528I",509
"B1","BMW","530E",217
"B1","BMW","530I",385
"B1","BMW","535I",53
"B1","BMW","540I",2
"B1","BMW","630I",49
"B1","BMW","640I",12
"B1","BMW","645CI",4
"B1","BMW","728I",2
